"accession","length","submission_date","host","country_original","collection_date","Month","year","SeqLength","Codons","BadCodons","CodonPairs","Stops","CpC","Y.Bias","X.Bias","ApG","GpA","GTG.Bias","ACT.Bias","T.Bias","brApG","brCpU","F.Bias","V.Bias","CCA.Bias","ATT.Bias","CTT.Bias","S.Bias","brGpC","GpC","N.Bias","W.Bias","brGpA","NonBrGpC","ApA","NonBrCpA","CTA.Bias","CTG.Bias","NonBrGpG","G.Bias","GCA.Bias","AGC.Bias","NonBrCpG","ATA.Bias","CpG","C.Bias","NonBrUpC","K.Bias","GGA.Bias","brApU","P.Bias","E.Bias","Q.Bias","M.Bias","NonBrUpU","CGA.Bias","NonBrUpA","AGT.Bias","UpC","ApU","brGpU","L.Bias"
"KM034559",18926,"15/12/2014","Homo sapiens","Sierra Leone","28/05/2014",5,2014,16506,5502,0,5493,0,1.043652334,0.029625591,0.001635769,1.019198118,1.11815837,0.207236842,0.262529833,0.076154126,1.140191349,0.793850409,0.04525627,0.055252635,0.394039735,0.465838509,0.2,0.075790622,0.757871533,0.898534566,0.046710287,0.013631407,0.925927203,0.941437547,1.020094904,1.294438445,0.144144144,0.171171171,1.063113322,0.056888404,0.356083086,0.12470024,0.556561275,0.217391304,0.604056851,0.016357688,0.990222098,0.051981098,0.383386581,0.81462863,0.054889131,0.054162123,0.050163577,0.01653944,1.322801157,0.179930796,0.572872719,0.237410072,1.06738127,0.970065554,0.572150089,0.10087241
"KM034560",18952,"15/12/2014","Homo sapiens","Sierra Leone","28/05/2014",5,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM034561",18908,"15/12/2014","Homo sapiens","Sierra Leone","28/05/2014",5,2014,16506,5502,0,5493,0,1.043652334,0.029625591,0.001635769,1.020208565,1.118252181,0.203947368,0.262529833,0.076154126,1.142831136,0.793850409,0.04525627,0.055252635,0.394039735,0.465838509,0.2,0.075790622,0.758161018,0.898788246,0.046710287,0.013631407,0.925999336,0.94170334,1.019690224,1.294181663,0.144144144,0.171171171,1.063713697,0.056888404,0.356083086,0.12470024,0.556718407,0.217391304,0.604227392,0.016357688,0.990222098,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.322801157,0.179930796,0.57392322,0.237410072,1.06738127,0.969873119,0.572368633,0.10087241
"KM034562",18957,"15/12/2014","Homo sapiens","Sierra Leone","28/05/2014",5,2014,16506,5502,0,5493,0,1.043011688,0.029625591,0.001635769,1.019198118,1.11815837,0.203947368,0.262529833,0.076154126,1.142831136,0.793889849,0.04525627,0.055252635,0.394039735,0.465838509,0.2,0.075790622,0.758479707,0.898777216,0.046710287,0.013631407,0.925999336,0.941691783,1.020094904,1.293461383,0.144144144,0.171171171,1.065085703,0.056888404,0.356083086,0.12470024,0.558598733,0.217391304,0.605478769,0.016357688,0.988670388,0.051981098,0.383386581,0.814079289,0.054889131,0.054162123,0.049981825,0.01653944,1.32356461,0.179310345,0.573901066,0.237410072,1.067416515,0.969835681,0.572156566,0.10087241
"KM233035",18912,"18/11/2014","Homo sapiens","Sierra Leone","02/06/2014",6,2014,16506,5502,0,5493,0,1.043728644,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.800318294,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.75428919,0.897298404,0.046710287,0.013631407,0.923801239,0.941460934,1.020340123,1.292157948,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.554688406,0.217391304,0.602813374,0.01653944,0.991506219,0.051981098,0.383386581,0.814682981,0.054889131,0.054162123,0.050163577,0.01653944,1.322036831,0.180555556,0.574059286,0.237410072,1.068114651,0.969326352,0.575912692,0.10087241
"KM233036",18873,"18/11/2014","Homo sapiens","Sierra Leone","02/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233037",18915,"18/11/2014","Homo sapiens","Sierra Leone","03/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233038",18914,"18/11/2014","Homo sapiens","Sierra Leone","03/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233039",18953,"18/11/2014","Homo sapiens","Sierra Leone","03/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233040",18922,"18/11/2014","Homo sapiens","Sierra Leone","03/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233041",18886,"18/11/2014","Homo sapiens","Sierra Leone","03/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233042",18912,"18/11/2014","Homo sapiens","Sierra Leone","03/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.01873194,1.116811491,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.897794132,0.046710287,0.013631407,0.923801239,0.941981061,1.021234707,1.29225036,0.144144144,0.171171171,1.064915972,0.056888404,0.356083086,0.12470024,0.554994853,0.217391304,0.603146409,0.01653944,0.991538759,0.05216285,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.181184669,0.573809392,0.237410072,1.068149705,0.96968076,0.575699233,0.10087241
"KM233043",18915,"18/11/2014","Homo sapiens","Sierra Leone","03/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233044",18914,"18/11/2014","Homo sapiens","Sierra Leone","04/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.020410987,1.117548933,0.203947368,0.262529833,0.076154126,1.143178607,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.757842597,0.898545658,0.046710287,0.013631407,0.923729142,0.941449169,1.020094904,1.292763158,0.144144144,0.171171171,1.063713697,0.056888404,0.356083086,0.12470024,0.554681474,0.217391304,0.60280584,0.01653944,0.991538759,0.051981098,0.383386581,0.81462863,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.574037094,0.237410072,1.068149705,0.970065554,0.575479333,0.10087241
"KM233045",18919,"18/11/2014","Homo sapiens","Sierra Leone","04/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233046",18867,"18/11/2014","Homo sapiens","Sierra Leone","06/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233047",18921,"18/11/2014","Homo sapiens","Sierra Leone","08/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233048",18829,"18/11/2014","Homo sapiens","Sierra Leone","09/06/2014",6,2014,16506,5502,0,5493,0,1.046133549,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79689813,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.75428919,0.897298404,0.046710287,0.013631407,0.923801239,0.941460934,1.020340123,1.292157948,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.554688406,0.217391304,0.602813374,0.01653944,0.991506219,0.051981098,0.383386581,0.814682981,0.054889131,0.054162123,0.050163577,0.01653944,1.322036831,0.180555556,0.574059286,0.237410072,1.067058158,0.970103056,0.575912692,0.10087241
"KM233049",18946,"06/04/2015","Homo sapiens","Sierra Leone","31/05/2014",5,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233050",18956,"18/11/2014","Homo sapiens","Sierra Leone","09/06/2014",6,2014,16506,5502,0,5493,0,1.043652334,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.796976783,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754923047,0.897782906,0.046710287,0.013631407,0.923801239,0.941969282,1.020340123,1.292855657,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.554987914,0.217391304,0.603138867,0.01653944,0.991571428,0.051981098,0.383386581,0.814079289,0.054889131,0.054162123,0.050163577,0.01653944,1.320784012,0.180555556,0.57378722,0.237410072,1.069241461,0.970419627,0.575485932,0.10087241
"KM233051",18951,"18/11/2014","Homo sapiens","Sierra Leone","11/06/2014",6,2014,16506,5502,0,5493,0,1.043652334,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.796976783,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754923047,0.897782906,0.046710287,0.013631407,0.923801239,0.941969282,1.020340123,1.292855657,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.554987914,0.217391304,0.603138867,0.01653944,0.991571428,0.051981098,0.383386581,0.814079289,0.054889131,0.054162123,0.050163577,0.01653944,1.320784012,0.180555556,0.57378722,0.237410072,1.069241461,0.970419627,0.575485932,0.10087241
"KM233052",18941,"18/11/2014","Homo sapiens","Sierra Leone","13/06/2014",6,2014,16506,5502,0,5493,0,1.043652334,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.796976783,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754923047,0.897782906,0.046710287,0.013631407,0.923801239,0.941969282,1.020340123,1.292855657,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.554987914,0.217391304,0.603138867,0.01653944,0.991571428,0.051981098,0.383386581,0.814079289,0.054889131,0.054162123,0.050163577,0.01653944,1.320784012,0.180555556,0.57378722,0.237410072,1.069241461,0.970419627,0.575485932,0.10087241
"KM233053",18957,"18/11/2014","Homo sapiens","Sierra Leone","05/06/2014",6,2014,16506,5502,0,5493,0,1.042448583,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.796976783,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754923047,0.897782906,0.046710287,0.013631407,0.923801239,0.941969282,1.020340123,1.292855657,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.554987914,0.217391304,0.603138867,0.01653944,0.991571428,0.051981098,0.383386581,0.814079289,0.054889131,0.054162123,0.050163577,0.01653944,1.320784012,0.180555556,0.57378722,0.237410072,1.069241461,0.969643291,0.575485932,0.10087241
"KM233054",18948,"18/11/2014","Homo sapiens","Sierra Leone","07/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233055",18878,"18/11/2014","Homo sapiens","Sierra Leone","07/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233056",18957,"18/11/2014","Homo sapiens","Sierra Leone","07/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
"KM233057",18954,"18/11/2014","Homo sapiens","Sierra Leone","09/06/2014",6,2014,16506,5502,0,5493,0,1.044292136,0.029625591,0.001635769,1.019571477,1.117642781,0.203947368,0.262529833,0.076154126,1.143267831,0.79693733,0.04525627,0.055252635,0.390728477,0.465838509,0.2,0.075790622,0.754605985,0.89754059,0.046710287,0.013631407,0.923801239,0.94171504,1.020340123,1.292506708,0.144144144,0.171171171,1.06431458,0.056888404,0.356083086,0.12470024,0.55483812,0.217391304,0.602976076,0.01653944,0.991538759,0.051981098,0.383386581,0.814381023,0.054889131,0.054162123,0.050163577,0.01653944,1.321410199,0.180555556,0.57392322,0.237410072,1.068149705,0.969873119,0.575699233,0.10087241
